STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM,,,,,
FLORIDA,Florida Atlantic Police Department ,Municipality,Broward County ,Task Force Model,2025-07-24 00:00:00,link,,,,,,
FLORIDA,Florida Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2020-08-21 00:00:00,link,,,,,,
FLORIDA,"Florida Department of Environmental Protection, Division of Law Enforcement ",State Agency,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,"Florida Department of Financial Services, Criminal Investigation Division",State Agency,#NA,Task Force Model,2025-07-24 00:00:00,link,,,,,,
FLORIDA,"Florida Department of Highway Safety and Motor Vehicles, Division of Highway Patrol",State Agency,#N/A,Task Force Model,2025-02-07 00:00:00,link,,,,,,
FLORIDA,Florida Department of Law Enforcement,State Agency,#N/A,Task Force Model,2025-02-14 00:00:00,link,,,,,,
FLORIDA,Florida Department of Lottery Services ,State Agency,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Florida Division of Alcoholic Beverages and Tobacco,State Agency,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Florida Fish & Wildlife Conservation Commission,State Agency,#NA,Task Force Model,2025-02-14 00:00:00,link,,,,,,
FLORIDA,Florida Gaming Control Commission,State Agency,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Florida Gulf Coast University Police Department,State Agency,#N/A,Task Force Model,2025-05-08 00:00:00,link,,,,,,
FLORIDA,Florida International University Police Department,State Agency,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Florida National Guard,State Agency,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,Florida Polytechnic University Police Department,State Agency,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Florida Southwestern State College Police Department,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link,,,,,,
FLORIDA,Florida State College at Jacksonville Police Department ,Municipality,#NA,Task Force Model,2025-08-28 00:00:00,link pending ,,,,,,
FLORIDA,Florida State Guard,State Agency,#N/A,Task Force Model,2025-03-19 00:00:00,link,,,,,,
FLORIDA,Fort Myers Police Department,Municipality,#N/A,Task Force Model,2025-05-16 00:00:00,link,,,,,,
FLORIDA,Fort Walton Beach Police Department,County,Okaloosa County,Task Force Model,2025-08-04 00:00:00,link pending ,,,,,,
FLORIDA,Franklin County Sheriff's Office,County,Franklin County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Franklin County Sheriff's Office,County,Franklin County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gadsden County Sheriff's Office,County,Gadsden County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gadsden County Sheriff's Office,County,Gadsden County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gilchrist County Sheriff's Office,County,Gilchrist County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gilchrist County Sheriff's Office,County,Gilchrist County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Glades County Sheriff's Office,County,Glades County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Glades County Sheriff's Office,County,Glades County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Green Cove Springs Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Gulf Breeze Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Gulf County Board of County Commissioners /Detention Facility ,County,Gulf County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gulf County Sheriff's Office,County,Gulf County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Gulf Stream Police Department,Municipality,#NA,Task Force Model,2025-08-28 00:00:00,link pending ,,,,,,
FLORIDA,Gulfport Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Haines City Police Department,Municipality,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Hamilton County Sheriff's Office,County,Hamilton County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Hamilton County Sheriff's Office,County,Hamilton County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Hardee County Sheriff's Office,County,Hardee County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Hardee County Sheriff's Office,County,Hardee County ,Task Force Model,2025-05-08 00:00:00,link,,,,,,
FLORIDA,Havana Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Hendry County Sheriff's Office,County,Hendry County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Hendry County Sheriff's Office,County,Hendry County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
FLORIDA,Hernando County Sheriff's Office,County,Hernando County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Hialeah Police Department,Municipality,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,High Springs Police Department,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Highland Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Highlands County Sheriff's Office,County,Highlands County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Highlands County Sheriff's Office,County,Highlands County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Hillsborough County Sheriff's Office,County,Hillsborough County ,Warrant Service Officer,2025-02-26 00:00:00,link,link,,,,,
FLORIDA,Hillsborough County Sheriff's Office,County,Hillsborough County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Holly Hill Police Department,Municipality,#N/A,Task Force Model,2025-05-08 00:00:00,link,,,,,,
FLORIDA,Hollywood Police Department ,Municipality,#N/A,Task Force Model,2025-06-18 00:00:00,link,,,,,,
FLORIDA,Holmes Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Holmes County Sheriff's Office,County,Holmes County ,Warrant Service Officer,2019-10-15 00:00:00,link,link,,,,,
FLORIDA,Holmes County Sheriff's Office,County,Holmes County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Howey in the Hills Police Department ,Municipality,Lake Conty,Task Force Model,2025-07-24 00:00:00,link,,,,,,
FLORIDA,Indialantic Police Department,Municipality,#N/A,Task Force Model,2025-05-13 00:00:00,link,,,,,,
FLORIDA,Indian Creek Village Department of Public Safety,Municipality,#N/A,Task Force Model,2025-07-07 00:00:00,link,,,,,,
FLORIDA,Indian Harbour Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Indian River County Sheriff's Office,County,Indian River County ,Warrant Service Officer,2019-10-15 00:00:00,link,link,,,,,
FLORIDA,Indian River County Sheriff's Office,County,Indian River County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Indian River Shores Department of Public Safety,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Indian Shores Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Jackson County Correctional Facility,County,Jackson County,Warrant Service Officer,2025-02-26 00:00:00,link,link,,,,,
FLORIDA,Jackson County Sheriff's Office,County,Jackson County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Jacksonville Sheriff's Office,County,Duval County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
FLORIDA,Jacksonville Sheriff's Office,County,Duval County,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Jefferson County Sheriff's Office,County,Jefferson County ,Warrant Service Officer,2019-10-15 00:00:00,link,link,,,,,
FLORIDA,Jefferson County Sheriff's Office,County,Jefferson County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Juno Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Jupiter Inlet Colony Police Department,Municipality,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
FLORIDA,Jupiter Island Department of Public Safety,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Jupiter Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
FLORIDA,Kenneth City Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Key Colony Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Key West Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Kissimmee Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Lady Lake Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Lafayette County Sheriff's Office,County,Lafayette County ,Warrant Service Officer,2019-10-15 00:00:00,link,link,,,,,
FLORIDA,Lafayette County Sheriff's Office,County,Lafayette County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Lake Alfred Police Department,Municipality,#N/A,Task Force Model,2025-06-24 00:00:00,link,,,,,,
FLORIDA,Lake City Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
FLORIDA,Lake Clarke Shores Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
FLORIDA,Lake County Sheriff's Office,County,Lake County ,Warrant Service Officer,2019-10-15 00:00:00,link,link,,,,,
FLORIDA,Lake County Sheriff's Office,County,Lake County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Lake Mary Police Department,Municipality,#N/A,Task Force Model,2025-06-18 00:00:00,link,,,,,,
FLORIDA,Lake Placid Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Lake Wales Police Department,Municipality,#N/A,Task Force Model,2025-06-13 00:00:00,link,,,,,,
FLORIDA,Lakeland Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link,,,,,,
FLORIDA,Lantana Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link,,,,,,
FLORIDA,Largo Police Department,Municipality,Pinellas County,Task Force Model,2025-07-23 00:00:00,link,,,,,,
FLORIDA,Lee County Port Authority Police,County,Lee County,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Warrant Service Officer,2025-02-26 00:00:00,link,link,,,,,
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Jail Enforcement Model,2025-03-03 00:00:00,link,,,,,,
FLORIDA,Lee County Sheriff's Office,County,Lee County ,Task Force Model,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Leon County Sheriff's Office,County,Leon County ,Warrant Service Officer,2019-10-15 00:00:00,link,link,,,,,
FLORIDA,Leon County Sheriff's Office,County,Leon County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Levy County Sheriff's Office,County,Levy County ,Warrant Service Officer,2019-05-06 00:00:00,link,link,,,,,
FLORIDA,Levy County Sheriff's Office,County,Levy County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Liberty County Sheriff's Office,County,Liberty County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Liberty County Sheriff's Office,County,Liberty County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
